rowid,word,n,tf,idf,tf_idf
1,poverty,51,0.05788876276958,1.04145387482816,0.0602884762953873
1,extreme,23,0.0261066969353008,2.14006616349627,0.055870058751889
1,cash,9,0.0102156640181612,2.83321334405622,0.0289431556146492
1,social,26,0.0295119182746879,0.887303195000903,0.0261860193757361
1,protection,21,0.0238365493757094,1.04145387482816,0.0248246667098654
2,food,38,0.0396246089676747,1.22377543162212,0.0484916229422736
2,hunger,14,0.0145985401459854,2.83321334405622,0.0413607787453462
2,undernourished,12,0.0125130344108446,2.83321334405622,0.0354520960674396
2,agriculture,16,0.0166840458811262,1.73460105538811,0.0289401635935451
2,overweight,9,0.00938477580813347,2.83321334405622,0.0265890720505797
3,diseases,27,0.0137264870360956,2.83321334405622,0.0388900662376806
3,mortality,26,0.0132180986273513,2.83321334405622,0.0374496934140629
3,malaria,21,0.0106761565836299,2.83321334405622,0.0302478292959738
3,deaths,39,0.0198271479410269,1.44691898293633,0.0286882767333588
3,hiv,17,0.00864260294865277,2.83321334405622,0.0244863380015026
4,school,32,0.0374707259953162,2.14006616349627,0.0801898328242162
4,learning,13,0.0152224824355972,2.83321334405622,0.0431285403661953
4,reading,13,0.0152224824355972,2.83321334405622,0.0431285403661953
4,education,34,0.0398126463700234,1.04145387482816,0.0414630348292242
4,secondary,12,0.0140515222482436,2.83321334405622,0.0398109603380265
5,gender,25,0.0251256281407035,1.73460105538811,0.0435829410901534
5,marriage,12,0.0120603015075377,2.83321334405622,0.0341694071644971
5,women,52,0.0522613065326633,0.635988766719997,0.0332376038888842
5,girls,27,0.0271356783919598,1.22377543162212,0.0332079765364795
5,legal,14,0.014070351758794,2.14006616349627,0.0301114837074852
6,water,88,0.0944206008583691,1.04145387482816,0.0983347006275517
6,sanitation,28,0.0300429184549356,2.14006616349627,0.0642938332380854
6,drinking,19,0.0203862660944206,1.73460105538811,0.0353620386828047
6,basic,18,0.01931330472103,1.44691898293633,0.0279447872240921
6,safely,9,0.00965665236051502,2.14006616349627,0.0206658749693846
7,energy,60,0.0846262341325811,0.887303195000903,0.0750891279267337
7,renewable,24,0.0338504936530324,2.14006616349627,0.0724422960845
7,electricity,18,0.0253878702397743,2.14006616349627,0.054331722063375
7,clean,14,0.0197461212976023,1.73460105538811,0.0342516428426424
7,cooking,10,0.0141043723554302,2.14006616349627,0.0301842900352083
8,employment,20,0.0224719101123596,1.73460105538811,0.0389797989974855
8,labour,16,0.0179775280898876,2.14006616349627,0.0384730995684723
8,unemployment,14,0.0157303370786517,2.14006616349627,0.0336639621224133
8,pay,10,0.0112359550561798,2.83321334405622,0.0318338577983845
8,youth,11,0.0123595505617978,2.14006616349627,0.0264502559533247
9,manufacturing,27,0.0315052508751459,2.83321334405622,0.089261097187302
9,mobile,13,0.015169194865811,2.83321334405622,0.0429775653124047
9,tech,11,0.0128354725787631,2.83321334405622,0.0363656321874193
